funder,funder_type,program,acronym_expansion,theme,pandemic_relevance,years,status,source_file
DARPA BTO,US DoD,ReSource,(no acronym),synbio,NO,2019-~2025,Active/late,allprogs.md
DARPA BTO,US DoD,Cornucopia,(no acronym),synbio,NO,2021-~2025,Active,allprogs.md
DARPA BTO,US DoD,BLUE,BioLogical Undersea Energy,synbio,NO,2024-present,Active,allprogs.md
DARPA BTO,US DoD,Switch,(no acronym),synbio,NO,2024-present,Active,allprogs.md
DARPA BTO,US DoD,Fleetwood,(no acronym),synbio,NO,~2024-present,Active,allprogs.md
DARPA BTO,US DoD,Smart-RBC,Smart Red Blood Cells,synbio,NO,~2025-present,Active,allprogs.md
DARPA BTO,US DoD,GO,Generative Optogenetics,synbio,NO,2025-present,Active (new),allprogs.md
DARPA BTO,US DoD,O-Circuit,Organoid Cytomorphic Intelligence Resulting from Convergent Understanding and Information Transfer,synbio,NO,2026-,Solicitation,allprogs.md
DARPA BTO,US DoD,RadioBio,(radio + biology),basic-research,NO,2017-~2020,Complete,allprogs.md
DARPA BTO,US DoD,RAM,Restoring Active Memory,neurotech,NO,2013-~2018,Complete,allprogs.md
DARPA BTO,US DoD,RAM Replay,(sub-effort of RAM),neurotech,NO,2015-~2017,Complete,allprogs.md
DARPA BTO,US DoD,NESD,Neural Engineering System Design,neurotech,NO,2016-2020,Complete,allprogs.md
DARPA BTO,US DoD,N3,Next-Generation Nonsurgical Neurotechnology,neurotech,NO,2018-~2024,Complete,allprogs.md
DARPA BTO,US DoD,HAPTIX,Hand Proprioception and Touch Interfaces,neurotech,NO,2015-~2019,Complete,allprogs.md
DARPA BTO,US DoD,TNT,Targeted Neuroplasticity Training,neurotech,NO,2016-2020,Complete,allprogs.md
DARPA BTO,US DoD,ElectRx,Electrical Prescriptions,neurotech,PARTIAL,2014-~2019,Complete,allprogs.md
DARPA BTO,US DoD,SUBNETS,Systems-Based Neurotechnology for Emerging Therapies,neurotech,NO,2013-~2018,Complete,allprogs.md
DARPA BTO,US DoD,RE-NET (incl. RPI),Reliable Neural-Interface Technology (Reliable Peripheral Interfaces),neurotech,NO,2010-~2016,Complete,allprogs.md
DARPA BTO,US DoD,Neuro-FAST,"Neuro Function, Activity, Structure, and Technology",neurotech,NO,2013-~2018,Complete,allprogs.md
DARPA BTO,US DoD,INI,Intelligent Neural Interfaces,neurotech,NO,2019-~2022,Complete,allprogs.md
DARPA BTO,US DoD,BG+,Bridging the Gap Plus,neurotech,NO,2020-~2025,Complete,allprogs.md
DARPA BTO,US DoD,BETR,Bioelectronics for Tissue Regeneration,neurotech,NO,2019-present,Active,allprogs.md
DARPA BTO,US DoD,Revolutionizing Prosthetics,(no acronym),neurotech,NO,2006-~2018,Complete,allprogs.md
DARPA BTO,US DoD,INSPIRE,Investigating how Neurological Systems Process Information in Reality,neurotech,NO,2025-present,Active,allprogs.md
DARPA BTO,US DoD,MBA,Measuring Biological Aptitude,neurotech,NO,2019-present,Active,allprogs.md
DARPA BTO,US DoD,Enabling Stress Resistance,(no acronym),neurotech,NO,~2015-2019,Complete,allprogs.md
DARPA BTO,US DoD,APT,Advanced Plant Technologies,environmental-ag,PARTIAL,2017-~2022,Complete,allprogs.md
DARPA BTO,US DoD,Insect Allies,(a.k.a. HEGAA),environmental-ag,PARTIAL,2016-2021,Complete,allprogs.md
DARPA BTO,US DoD,ReVector,(no acronym),environmental-ag,YES,2019-~2023,Complete,allprogs.md
DARPA BTO,US DoD,PALS,Persistent Aquatic Living Sensors,environmental-ag,NO,2018-2021,Complete,allprogs.md
DARPA BTO,US DoD,BioReporters for Subterranean Surveillance,(no acronym),environmental-ag,PARTIAL,2019-~2021,Complete,allprogs.md
DARPA BTO,US DoD,Reefense,(reef + defense),environmental-ag,PARTIAL,2022-~2026,Active,allprogs.md
DARPA BTO,US DoD,Tellus,(no acronym),environmental-ag,NO/PARTIAL,2023-present,Active,allprogs.md
DARPA BTO,US DoD,GUARDIAN,Genetic Utilization for Advanced Regulation and Defense of Indigenous and Native Species,environmental-ag,PARTIAL,2026-,Active (launching),allprogs.md
DARPA BTO,US DoD,Ag x BTO,Agricultural Defense initiative,environmental-ag,PARTIAL,2025-present,Active,allprogs.md
DARPA BTO,US DoD,AMPHORA,Assured Microbial Preservation in Harsh Or Remote Areas,biosurveillance-detection,YES,recent,per BTO list,allprogs.md
BARDA,US HHS,BARDA (parent),Biomedical Advanced Research and Development Authority,MCM-manufacturing,PARTIAL,2006 (active),active,allprogs.md
BARDA,US HHS,CBRN Division,"Chemical, Biological, Radiological & Nuclear MCMs",MCM-manufacturing,PARTIAL,~2007 (active),active,allprogs.md
BARDA,US HHS,CBRN Division — Antimicrobials,(none),AMR,PARTIAL,active,active,allprogs.md
BARDA,US HHS,CBRN Division — Antivirals & Antitoxins,(none),therapeutics-antivirals,PARTIAL,active,active,allprogs.md
BARDA,US HHS,"CBRN Division — Vaccines (anthrax, smallpox, VHF)",(none),vaccines,PARTIAL,active,active,allprogs.md
BARDA,US HHS,CBRN Division — Chemical MCMs,(none),other,NO,active,active,allprogs.md
BARDA,US HHS,CBRN Division — Radiological/Nuclear MCMs,(none),other,NO,active,active,allprogs.md
BARDA,US HHS,CBRN Division — Burn and Blast MCMs,(none),other,NO,active,active,allprogs.md
BARDA,US HHS,Influenza & Emerging Infectious Diseases,IEID / IEIDD,vaccines,YES,~2007 (active),active,allprogs.md
BARDA,US HHS,IEID — Pandemic Vaccines & Adjuvants,(none),vaccines,YES,active,active,allprogs.md
BARDA,US HHS,IEID — Vaccine Development,(none),vaccines,YES,active,active,allprogs.md
BARDA,US HHS,IEID — Therapeutics,(none),therapeutics-antivirals,YES,active,active,allprogs.md
BARDA,US HHS,IEID — Influenza Diagnostics & Devices,(none),diagnostics,YES,active,active,allprogs.md
BARDA,US HHS,National Pre-pandemic Influenza Vaccine Stockpile,NPIVS,vaccines,YES,active,active,allprogs.md
BARDA,US HHS,"Detection, Diagnostics & Devices Infrastructure",DDDI,diagnostics,PARTIAL,active,active,allprogs.md
BARDA,US HHS,Clinical Development Division,DCD,basic-research,PARTIAL,active,active,allprogs.md
BARDA,US HHS,Nonclinical Development Division,DNCD,basic-research,PARTIAL,active,active,allprogs.md
BARDA,US HHS,Regulatory & Quality Affairs,RQA,biosecurity-policy,PARTIAL,active,active,allprogs.md
BARDA,US HHS,Contract Management & Acquisition,CMA,biosecurity-policy,PARTIAL,active,active,allprogs.md
BARDA,US HHS,Pharmaceutical Countermeasures & Infrastructure,PCI,MCM-manufacturing,PARTIAL,active,active,allprogs.md
BARDA,US HHS,DRIVe,"Division of Research, Innovation, and Ventures",basic-research,PARTIAL,June 2018 (active),active,allprogs.md
BARDA,US HHS,DRIVe — ENACT,"Early Notification to Act, Control and Treat",biosurveillance-detection,YES,~2018 (active),active,allprogs.md
BARDA,US HHS,DRIVe — Solving Sepsis,(none),therapeutics-antivirals,PARTIAL,~2018 (active),active,allprogs.md
BARDA,US HHS,DRIVe — ReDIRECT,Repurposing drugs for chemical exposure,therapeutics-antivirals,NO,2020 (active),active,allprogs.md
BARDA,US HHS,DRIVe — BARDA Accelerator Network,BAN,basic-research,YES,~2019 (active),active,allprogs.md
BARDA,US HHS,BARDA Ventures,(none),basic-research,YES,2022 (active),active,allprogs.md
BARDA,US HHS,Project BioShield,(none),MCM-manufacturing,PARTIAL,2004 (active),active,allprogs.md
BARDA,US HHS,Centers for Innovation in Advanced Development & Manufacturing,CIADM,MCM-manufacturing,PARTIAL,2012 (legacy/active),active,allprogs.md
BARDA,US HHS,Fill Finish Manufacturing Network,FFMN,MCM-manufacturing,YES,~2019 (active),active,allprogs.md
BARDA,US HHS,Strategic National Stockpile (relationship),SNS,MCM-manufacturing,PARTIAL,(active),active,allprogs.md
BARDA,US HHS,Operation Warp Speed (BARDA role),OWS,vaccines,YES,2020 (concluded),concluded,allprogs.md
BARDA,US HHS,Antiviral Program for Pandemics,APP,therapeutics-antivirals,YES,June 2021 (active),active,allprogs.md
BARDA,US HHS,Project NextGen,(none),vaccines,YES,April 2023 (active),active,allprogs.md
BARDA,US HHS,Rapid Response Partnership Vehicle,RRPV,MCM-manufacturing,YES,Oct 2023 (active),active,allprogs.md
BARDA,US HHS,BioMaP-Consortium,Biopharmaceutical Manufacturing Preparedness Consortium,MCM-manufacturing,YES,~2023 (active),active,allprogs.md
NIH/NIAID,US HHS,Vaccine Research Center (VRC),Vaccine Research Center,vaccines,YES,est 1997 (opened 2000),intramural/ongoing,agencies/niaid.md
NIH/NIAID,US HHS,Vaccine and Treatment Evaluation Units (VTEUs),Vaccine and Treatment Evaluation Units,vaccines,YES,est 1962; 2020 RFA ~$29M/yr for 7 yrs,ongoing,agencies/niaid.md
NIH/NIAID,US HHS,Centers of Excellence for Influenza Research and Response (CEIRR),Centers of Excellence for Influenza Research and Response,vaccines,YES,CEIRS 2007-2021; CEIRR 2021 (7-yr; ~$24M first-yr),ongoing,agencies/niaid.md
NIH/NIAID,US HHS,Collaborative Influenza Vaccine Innovation Centers (CIVICs),Collaborative Influenza Vaccine Innovation Centers,vaccines,YES,2019; up to ~$51M first-yr over 7 yrs,ongoing,agencies/niaid.md
NIH/NIAID,US HHS,Centers for Research in Emerging Infectious Diseases (CREID),Centers for Research in Emerging Infectious Diseases,biosurveillance-detection,YES,Aug 2020; ~$17M first-yr; ~$82M over 5 yrs,ongoing,agencies/niaid.md
NIH/NIAID,US HHS,Antiviral Drug Discovery (AViDD) Centers,Antiviral Drug Discovery Centers for Pathogens of Pandemic Concern,therapeutics-antivirals,YES,May 2022; ~$577M / 9 centers; 3 yrs (extendable to 5),ongoing,agencies/niaid.md
NIH/NIAID,US HHS,Pandemic Preparedness Plan / Prototype Pathogen Approach,,basic-research,YES,Dec 2021,ongoing,agencies/niaid.md
NIH/NIAID,US HHS,ReVAMPP,Research and Development of Vaccines and Monoclonal Antibodies for Pandemic Preparedness,vaccines,YES,U19 awards 2024; ~$100M/yr,ongoing,agencies/niaid.md
NIH/NIAID,US HHS,ACTIV,Accelerating COVID-19 Therapeutic Interventions and Vaccines,therapeutics-antivirals,YES,launched Apr 2020,concluded,agencies/niaid.md
NIH/NIAID,US HHS,ACTT,Adaptive COVID-19 Treatment Trial,therapeutics-antivirals,YES,began Feb 21 2020,concluded,agencies/niaid.md
NIH/NIAID,US HHS,RADx,Rapid Acceleration of Diagnostics,diagnostics,YES,Apr 2020; $1.5B supplement (NIH-wide/NIBIB-led),concluded,agencies/niaid.md
NIH/NIAID,US HHS,Moderna mRNA-1273 / VRC co-development,,vaccines,YES,2020,concluded,agencies/niaid.md
NIH/NIAID,US HHS,Radiation and Nuclear Countermeasures Program (RNCP),Radiation and Nuclear Countermeasures Program,MCM-manufacturing,PARTIAL,launched 2005; ~$45-50M/yr (dated),ongoing,agencies/niaid.md
NIH/NIAID,US HHS,Rocky Mountain Laboratories (RML),Rocky Mountain Laboratories,basic-research,YES,intramural BSL-2/3/4,ongoing,agencies/niaid.md
NIH/NIAID,US HHS,Biocontainment network (RBLs/NBLs) & DURC,,biosecurity-policy,PARTIAL,post-2001; ~$1B for 12 RBLs + 2 NBLs,ongoing,agencies/niaid.md
CDC,US HHS,Epidemiology and Laboratory Capacity (ELC) Cooperative Agreement,Epidemiology and Laboratory Capacity,biosurveillance-detection,YES,since 1995; ~$364M core (2024),ongoing,agencies/cdc.md
CDC,US HHS,Public Health Emergency Preparedness (PHEP) Cooperative Agreement,Public Health Emergency Preparedness,biosurveillance-detection,YES,since 2002; $735M FY23-24,ongoing,agencies/cdc.md
CDC,US HHS,Center for Forecasting and Outbreak Analytics (CFA),Center for Forecasting and Outbreak Analytics,biosurveillance-detection,YES,launched 2022; $200M ARP,ongoing,agencies/cdc.md
CDC,US HHS,Influenza Division & surveillance,,biosurveillance-detection,YES,WHO Collaborating Center since 1956,ongoing,agencies/cdc.md
CDC,US HHS,Laboratory Response Network (LRN),Laboratory Response Network,biosurveillance-detection,YES,since 1999,ongoing,agencies/cdc.md
CDC,US HHS,Advanced Molecular Detection (AMD),Advanced Molecular Detection,biosurveillance-detection,YES,since 2014; ~$40M/yr,ongoing,agencies/cdc.md
CDC,US HHS,BioSense / National Syndromic Surveillance Program (NSSP),National Syndromic Surveillance Program,biosurveillance-detection,YES,BioSense launched 2003; now NSSP,ongoing,agencies/cdc.md
CDC,US HHS,Strategic National Stockpile (SNS) - historical,Strategic National Stockpile,MCM-manufacturing,YES,1998/1999; transferred to ASPR Oct 2018,transferred to ASPR,agencies/cdc.md
CDC,US HHS,Federal Select Agent Program (FSAP),Federal Select Agent Program,biosecurity-policy,PARTIAL,since 2002 (regulatory; with USDA APHIS),ongoing,agencies/cdc.md
CDC,US HHS,Emerging Infections Programs (EIP),Emerging Infections Programs,biosurveillance-detection,YES,since ~1995; 12 sites,ongoing,agencies/cdc.md
CDC,US HHS,Global Health Security Agenda (GHSA),Global Health Security Agenda,biosurveillance-detection,YES,launched Feb 2014,ongoing,agencies/cdc.md
CDC,US HHS,Insight Net (Outbreak Analytics & Disease Modeling Network),Insight Net,biosurveillance-detection,YES,announced Sept 2023; up to $262.5M / 5 yrs,ongoing,agencies/cdc.md
ASPR,US HHS,PHEMCE,Public Health Emergency Medical Countermeasures Enterprise,MCM-manufacturing,YES,created 2006; reconstituted Feb 2022,ongoing,agencies/aspr.md
ASPR,US HHS,Strategic National Stockpile (SNS),Strategic National Stockpile,MCM-manufacturing,YES,transferred to ASPR Oct 2018; FY2024 $980M,ongoing,agencies/aspr.md
ASPR,US HHS,Project BioShield Special Reserve Fund (SRF),Project BioShield Special Reserve Fund,MCM-manufacturing,YES,Act 2004; orig $5.6B; $825M enacted FY2024,ongoing,agencies/aspr.md
ASPR,US HHS,Hospital Preparedness Program (HPP),Hospital Preparedness Program,MCM-manufacturing,PARTIAL,~$240-250M/yr (FY2024 $240M),ongoing,agencies/aspr.md
ASPR,US HHS,Regional Disaster Health Response System (RDHRS),Regional Disaster Health Response System,MCM-manufacturing,PARTIAL,FY2018 pilots ~$3M/yr each,ongoing,agencies/aspr.md
ASPR,US HHS,Industrial-Base / Supply-Chain (IBMSC) + DPA Title III,Office/Center for Industrial Base Management & Supply Chain,MCM-manufacturing,YES,COVID-era; DPA Title III,ongoing,agencies/aspr.md
ASPR,US HHS,NIIMBL,National Institute for Innovation in Manufacturing Biopharmaceuticals,MCM-manufacturing,PARTIAL,principally NIST recipient; ASPR/BARDA collaborative,ongoing,agencies/aspr.md
DTRA,US DoD,R&D Directorate / Chemical & Biological Technologies Dept (RD-CB / J9CB),,biosecurity-policy,YES,~>$1B R&D (approx); serves as JSTO for CBDP,ongoing,agencies/dtra.md
DTRA,US DoD,JSTO-CBD and the CBDP,Joint Science and Technology Office for Chemical and Biological Defense,MCM-manufacturing,YES,CBDP FY2024 ~$1.479B actual,ongoing,agencies/dtra.md
DTRA,US DoD,Funding mechanisms - BAAs (HDTRA1) / OTAs / SBIR-STTR,,basic-research,PARTIAL,HDTRA1-25-S-0001 open 2024-2034; ~$500M/10yr ceiling,ongoing,agencies/dtra.md
DTRA,US DoD,Cooperative Threat Reduction (CTR) / Biological Threat Reduction Program (BTRP),Biological Threat Reduction Program (formerly CBEP),biosurveillance-detection,YES,Nunn-Lugar 1991; BTRP FY2024 ~$218M,ongoing (declining),agencies/dtra.md
DTRA,US DoD,Threat-agnostic countermeasures & DOMANE,Discovery of Medical Countermeasures Against Novel Entities,therapeutics-antivirals,YES,DOMANE est late 2019; SPADES/RAPTER/ONTARGET,ongoing,agencies/dtra.md
DTRA,US DoD,Biosurveillance Ecosystem (BSVE),Biosurveillance Ecosystem,biosurveillance-detection,PARTIAL,funded by JSTO-CBD; apparently transitioned to DHS ~2021,status uncertain,agencies/dtra.md
JPEO-CBRND,US DoD,JPM CBRN Medical / RAIDR,Joint Project Manager for CBRN Medical / Rapid Acquisition and Investigation of Drugs for Repurposing,therapeutics-antivirals,YES,,ongoing,agencies/jpeo-cbrnd.md
JPEO-CBRND,US DoD,MCMPT (Medical Countermeasures Platform Technologies),Medical Countermeasures Platform Technologies,MCM-manufacturing,YES,>28 NSNs sponsored,ongoing,agencies/jpeo-cbrnd.md
JPEO-CBRND,US DoD,Platform / rapid-response programmes (MCMPT/RAIDR/RAPID/VAMP/GUIDE),Vaccine Acceleration by Modular Progression (VAMP); Rapid Acquisition and Investigation of Drugs for Repurposing (RAIDR),MCM-manufacturing,YES,,ongoing,agencies/jpeo-cbrnd.md
JPEO-CBRND,US DoD,Medical CBRN Defense Consortium (MCDC) OTA,Medical CBRN Defense Consortium,MCM-manufacturing,YES,est ~2015; ~$10B ceiling; >$7.8B awarded,ongoing,agencies/jpeo-cbrnd.md
JPEO-CBRND,US DoD,DoD Advanced Development and Manufacturing (ADM) capability,Advanced Development and Manufacturing,MCM-manufacturing,YES,2013 awarded; opened 2017 (Alachua FL),ongoing,agencies/jpeo-cbrnd.md
JPEO-CBRND,US DoD,COVID-19 / Operation Warp Speed contracting role,,vaccines,YES,2020; facilitated up to ~$10.8B for OWS,concluded,agencies/jpeo-cbrnd.md
USAMRIID/DoD,US DoD,USAMRIID,U.S. Army Medical Research Institute of Infectious Diseases,basic-research,YES,est 1969; only DoD BSL-4,ongoing,agencies/dod-medical.md
USAMRIID/DoD,US DoD,USAMRDC / MIDRP,U.S. Army Medical Research and Development Command / Military Infectious Diseases Research Program,vaccines,YES,MIDRP ~$70M/yr (dated),ongoing,agencies/dod-medical.md
USAMRIID/DoD,US DoD,CDMRP,Congressionally Directed Medical Research Programs,basic-research,PARTIAL,since FY1992; ~$20B cumulative,ongoing,agencies/dod-medical.md
USAMRIID/DoD,US DoD,WRAIR,Walter Reed Army Institute of Research,vaccines,YES,largest biomedical lab in DoD,ongoing,agencies/dod-medical.md
USAMRIID/DoD,US DoD,NMRC / NAMRU Labs (Navy),Naval Medical Research Command / Naval Medical Research Units,vaccines,YES,traces to NMRI 1942; renamed 2023,ongoing,agencies/dod-medical.md
USAMRIID/DoD,US DoD,Defense Health Agency (DHA),Defense Health Agency,basic-research,PARTIAL,activated Oct 2013,ongoing,agencies/dod-medical.md
USAMRIID/DoD,US DoD,GEIS & AFHSD,Global Emerging Infections Surveillance / Armed Forces Health Surveillance Division,biosurveillance-detection,YES,GEIS est 1997; ~$60M to six overseas labs FY2019,ongoing,agencies/dod-medical.md
DHS,US gov agency,S&T Directorate - Chemical-Biological Defense R&D / PANTHR,Chemical Biological and Explosive (CBE) Defense thrust,biosurveillance-detection,YES,PANTHR ~$34-40M/yr FY21-24,ongoing,agencies/dhs.md
DHS,US gov agency,Countering Weapons of Mass Destruction Office (CWMD),Countering Weapons of Mass Destruction,biosecurity-policy,YES,formed 2017; ~$409-452M/yr; FY2026 proposes dissolution,at risk,agencies/dhs.md
DHS,US gov agency,NBACC,National Biodefense Analysis and Countermeasures Center,biosurveillance-detection,YES,est 2004; BSL-4 capable (Fort Detrick),ongoing,agencies/dhs.md
DHS,US gov agency,BioWatch and BD21,BioWatch / Biological Detection for the 21st Century,biosurveillance-detection,YES,BioWatch deployed 2003 (~$80M/yr); BD21 discontinued Sept 2024,ongoing (Gen-2),agencies/dhs.md
DHS,US gov agency,NBIC,National Biosurveillance Integration Center,biosurveillance-detection,YES,created 2007; operational 2008; ~$10-13M/yr,ongoing,agencies/dhs.md
DHS,US gov agency,Plum Island (PIADC) -> NBAF,National Bio and Agro-Defense Facility,environmental-ag,PARTIAL,NBAF ~$1.25B; ownership transferred to USDA 2019/2023,transferred to USDA,agencies/dhs.md
USAID,US gov agency,Emerging Pandemic Threats (EPT) / PREDICT,Emerging Pandemic Threats,biosurveillance-detection,YES,EPT-1 2009-2014; PREDICT 2009-2019,terminated 2025,agencies/usaid.md
USAID,US gov agency,STOP Spillover,STOP Spillover,biosurveillance-detection,YES,2020-2025; $100M 5-yr; ~$31.2M obligated,terminated 2025,agencies/usaid.md
USAID,US gov agency,Global Health Security (GHS) program / GHSA role,Global Health Security,biosurveillance-detection,YES,more than $1.1B since 2009,terminated 2025,agencies/usaid.md
USAID,US gov agency,PIOET / Infectious Disease line,Pandemic Influenza and Other Emerging Threats,biosurveillance-detection,YES,since 2005; relabeled GHS from FY2016,terminated 2025,agencies/usaid.md
USAID,US gov agency,COVID-19 international response,,vaccines,YES,~$10.54B managed by USAID; Global VAX ~$1.6B,concluded,agencies/usaid.md
USAID,US gov agency,Antimicrobial resistance (MTaPS/SIAPS),Medicines Technologies and Pharmaceutical Services,AMR,PARTIAL,via Management Sciences for Health; MTaPS 2018-2023,terminated 2025,agencies/usaid.md
USDA,US gov agency,APHIS Veterinary Services & NAHLN,National Animal Health Laboratory Network,environmental-ag,YES,since 2002; ~60 labs; FY2025 $6M,ongoing,agencies/usda.md
USDA,US gov agency,National Bio and Agro-Defense Facility (NBAF),National Bio and Agro-Defense Facility,environmental-ag,YES,ownership transferred DHS->USDA spring 2023; large-animal BSL-4,ongoing,agencies/usda.md
USDA,US gov agency,Agricultural Research Service (ARS) / National Animal Disease Center (NADC),National Animal Disease Center,environmental-ag,PARTIAL,Ames Iowa; 700+ staff,ongoing,agencies/usda.md
USDA,US gov agency,NIFA competitive grants (AFRI),Agriculture and Food Research Initiative,environmental-ag,PARTIAL,~$445.2M FY2024,ongoing,agencies/usda.md
USDA,US gov agency,Federal Select Agent Program (shared with CDC),Division of Agricultural Select Agents and Toxins,biosecurity-policy,PARTIAL,since 2002 (regulatory),ongoing,agencies/usda.md
USDA,US gov agency,Highly pathogenic avian influenza (H5N1) response,Highly Pathogenic Avian Influenza,environmental-ag,YES,since 2022; Feb 2025 up to $1B (incl $100M vaccine/therapeutic research),ongoing,agencies/usda.md
USDA,US gov agency,One Health coordination,,environmental-ag,PARTIAL,across APHIS/FSIS/NIFA/ARS with CDC/FDA,ongoing,agencies/usda.md
State Dept,US gov agency,ISN / Office of Cooperative Threat Reduction (ISN/CTR) - Global Threat Reduction,Global Threat Reduction,biosecurity-policy,PARTIAL,GTR request ~$96.6M FY24,ongoing,agencies/state.md
State Dept,US gov agency,Biosecurity Engagement Program (BEP),Biosecurity Engagement Program,biosecurity-policy,YES,first funded FY2006; small grants <$500K,ongoing,agencies/state.md
State Dept,US gov agency,Bureau of Global Health Security and Diplomacy (GHSD),Bureau of Global Health Security and Diplomacy,biosurveillance-detection,YES,launched Aug 2023,ongoing,agencies/state.md
State Dept,US gov agency,"Biological Weapons nonproliferation (BWC support, ISN/NDF)",Biological Weapons Convention support / Nonproliferation and Disarmament Fund,biosecurity-policy,PARTIAL,NDF est 1994,ongoing,agencies/state.md
State Dept,US gov agency,Global Partnership Against the Spread of WMD (GP),Global Partnership,biosecurity-policy,PARTIAL,launched 2002 Kananaskis; Biological Security Working Group (SIMBA),ongoing,agencies/state.md
State Dept,US gov agency,Contributions to multilateral funds (Pandemic Fund/CEPI/Gavi),,vaccines,YES,Pandemic Fund up to $667M; CEPI $50M GHSD (2026),ongoing (2025 reversals),agencies/state.md
DOE/NNSA,US gov agency,BER & the Joint Genome Institute (JGI),Biological and Environmental Research / Joint Genome Institute,basic-research,NO,~$900M enacted FY2024 (non-human scope),ongoing,agencies/doe.md
DOE/NNSA,US gov agency,NNSA Defense Nuclear Nonproliferation (DNN) & chem-bio lineage,Defense Nuclear Nonproliferation,biosurveillance-detection,PARTIAL,present-day nuclear-only; BASIS->BioWatch legacy,ongoing,agencies/doe.md
DOE/NNSA,US gov agency,LLNL - biodetection & biosecurity,Lawrence Livermore Microbial Detection Array (LLMDA),biosurveillance-detection,YES,LLMDA licensed 2012; only BSL-3 among DOE labs,ongoing,agencies/doe.md
